0,21,19,14,21,12,18,17,8,6,56,3,8,0,5,13,13,7,46,16,61,32,48,20,13,12,22,33,35,51
1,13,18,12,8,14,10,10,19,5,0,345,13,294,0,12,0,310,0,0,17,104,0,11,0,14,0,8,0,0
2,2,4,5,1,5,3,2,8,2,29,1,4,0,0,2,14,0,12,27,7,1,10,0,3,4,21,5,7,26
3,9,18,9,10,14,10,5,6,9,70,5,6,1,4,8,68,7,51,87,7,10,45,7,3,14,61,3,39,19
4,7,5,9,3,6,5,7,6,1,109,11,7,0,7,6,38,5,109,41,4,11,36,5,9,7,44,2,72,43
5,6,10,13,9,11,9,10,12,0,0,209,8,137,173,12,0,137,0,0,25,0,0,17,0,12,0,12,0,0
6,1,3,2,1,0,0,2,0,2,0,3,0,1,1,2,0,3,0,0,1,4,0,0,0,2,0,0,0,0
7,2,16,5,7,7,4,2,14,8,24,25,6,24,13,9,7,36,17,26,12,30,10,5,7,12,13,6,21,33
8,32,47,16,8,14,5,12,19,36,9,15,16,5,3,9,5,16,42,6,33,29,3,14,34,13,3,18,4,39
9,1,2,1,0,0,1,0,3,1,0,43,3,20,49,0,0,20,0,0,1,14,0,1,0,1,0,1,0,0
10,3,5,1,5,5,1,3,4,4,0,71,6,38,117,6,0,39,2,0,3,26,0,5,2,7,0,2,0,2
11,2,4,2,3,1,1,0,0,1,20,0,1,0,0,2,5,2,13,16,1,4,4,3,5,3,5,0,18,18
12,2,12,4,1,2,3,4,2,4,0,361,3,322,232,5,0,328,2,0,3,210,0,2,2,1,0,0,0,2
13,5,15,11,10,24,20,10,23,6,29,9,13,0,5,11,32,10,71,20,3,26,22,16,38,13,41,0,5,68
14,10,11,4,7,3,5,11,4,7,61,2,6,0,3,1,39,1,33,24,3,4,42,9,10,2,35,3,21,45
15,19,60,7,8,13,10,5,24,35,59,24,17,15,17,23,38,28,30,36,13,41,32,14,4,8,51,7,43,32
16,5,13,8,7,5,0,7,5,6,0,300,4,257,281,3,0,263,4,0,9,174,0,3,4,6,0,2,0,4
17,0,2,3,3,3,4,3,2,1,9,0,2,0,0,1,5,3,17,7,2,6,5,2,12,3,5,1,2,17
18,5,7,6,2,6,9,7,2,3,93,1,9,0,0,3,32,4,36,41,11,11,82,7,2,9,62,4,56,71
19,3,5,1,0,4,0,2,2,1,14,14,3,6,11,0,11,6,13,2,1,3,13,2,3,2,2,0,13,10
20,15,7,15,7,8,11,8,10,1,97,3,16,0,1,8,73,5,44,51,19,11,87,12,3,6,11,11,76,39
21,1,5,0,5,5,4,2,2,2,65,3,0,2,1,6,35,5,44,28,6,6,12,1,4,6,48,1,50,53
22,5,10,3,18,9,7,11,7,5,103,12,9,7,3,15,43,10,47,40,13,12,65,9,2,6,20,8,76,81
23,13,7,7,8,10,5,9,10,3,65,57,10,51,23,12,42,56,21,22,20,28,32,6,1,7,41,10,55,20
24,4,10,6,5,6,6,2,9,6,45,2,6,2,5,5,54,16,16,53,16,28,21,2,2,2,26,6,24,40
25,6,29,13,9,21,6,7,7,18,29,111,15,84,64,18,23,100,29,12,26,74,19,19,8,11,20,17,22,27
26,13,13,17,19,18,19,8,16,3,27,4,19,0,10,16,29,7,31,36,58,19,24,14,7,29,35,41,9,32
27,5,14,7,4,6,9,4,5,7,18,15,7,14,14,14,8,35,18,15,2,37,11,5,6,2,4,0,10,16
28,3,6,1,2,5,4,10,4,1,79,6,9,2,3,9,35,7,12,50,9,9,42,4,3,3,49,3,71,44
29,2,15,3,3,12,13,4,5,7,24,6,1,3,5,4,31,8,31,14,5,9,29,3,4,3,25,2,2,26
